code_module,code_presentation,id_student,id_site,date,sum_click
EEE,2014B,2,192,114,5
EEE,2014B,2,188,131,7
EEE,2014B,2,195,110,1
EEE,2014B,2,192,41,8
EEE,2014B,2,187,48,8
EEE,2014B,2,183,193,3
EEE,2014B,2,182,102,4
EEE,2014B,2,194,80,5
EEE,2014B,2,198,227,2
EEE,2014B,2,194,44,7
EEE,2014B,2,192,236,7
EEE,2014B,2,188,96,8
EEE,2014B,2,195,125,4
EEE,2014B,2,191,165,8
EEE,2014B,2,182,63,7
EEE,2014B,2,189,163,9
EEE,2014B,2,199,41,1
EEE,2014B,2,190,8,3
EEE,2014B,2,188,171,6
EEE,2014B,2,194,26,5
EEE,2014B,2,187,32,6
EEE,2014B,2,194,5,6
EEE,2014B,2,182,229,9
EEE,2014B,2,192,196,1
EEE,2014B,2,191,23,5
EEE,2014B,2,181,102,9
EEE,2014B,2,192,175,3
EEE,2014B,2,192,195,1
EEE,2014B,2,181,191,9
EEE,2014B,2,194,203,4
EEE,2014B,2,182,219,3
EEE,2014B,2,184,203,7
DDD,2013J,2,135,95,4
DDD,2013J,2,126,10,7
DDD,2013J,2,135,95,3
DDD,2013J,2,123,141,6
DDD,2013J,2,124,177,7
DDD,2013J,2,139,118,3
DDD,2013J,2,137,23,6
DDD,2013J,2,140,194,1
DDD,2013J,2,127,174,1
DDD,2013J,2,124,82,2
DDD,2013J,2,134,128,4
DDD,2013J,2,127,21,8
CCC,2014B,3,107,85,6
CCC,2014B,3,113,187,1
CCC,2014B,3,114,209,5
CCC,2014B,3,112,205,1
CCC,2014B,3,118,124,7
CCC,2014B,3,104,94,4
CCC,2014B,3,107,235,6
CCC,2014B,3,109,144,2
CCC,2014B,3,114,26,8
CCC,2014B,3,107,136,3
CCC,2014B,3,113,95,4
CCC,2014B,3,115,187,8
CCC,2014B,3,114,112,9
CCC,2014B,3,111,68,2
CCC,2014B,3,101,40,1
CCC,2014B,3,108,66,7
CCC,2014B,3,117,64,8
CCC,2014B,3,112,141,5
CCC,2014B,3,109,90,8
CCC,2014B,3,108,55,2
CCC,2014B,3,110,155,6
CCC,2014B,3,112,42,5
CCC,2014B,3,104,217,7
CCC,2014B,3,115,135,9
CCC,2014B,3,102,208,6
CCC,2014B,3,104,203,3
CCC,2014B,3,119,215,8
CCC,2014B,3,105,183,9
CCC,2014B,3,109,122,3
CCC,2014B,3,116,207,6
CCC,2014B,3,118,66,3
CCC,2014B,3,103,224,6
CCC,2014B,3,115,164,8
CCC,2014B,3,114,89,5
CCC,2014B,3,120,228,7
CCC,2014B,3,120,178,8
CCC,2014B,3,120,120,5
CCC,2014B,3,120,21,5
CCC,2014B,3,101,128,7
CCC,2014B,3,119,226,6
CCC,2014B,3,120,172,3
CCC,2014B,3,102,206,9
CCC,2014B,3,120,221,2
CCC,2014B,3,101,128,6
CCC,2014B,3,120,89,6
BBB,2014B,4,64,166,7
BBB,2014B,4,73,209,5
BBB,2014B,4,74,170,4
BBB,2014B,4,76,10,5
BBB,2014B,4,79,171,3
BBB,2014B,4,62,88,8
BBB,2014B,4,75,95,4
BBB,2014B,4,66,42,6
BBB,2014B,4,66,56,9
BBB,2014B,4,80,128,5
BBB,2014B,4,80,201,1
BBB,2014B,4,73,194,2
BBB,2014B,4,79,9,6
BBB,2014B,4,74,231,9
BBB,2014B,4,66,166,8
BBB,2014B,4,75,146,1
BBB,2014B,4,76,127,5
BBB,2014B,4,76,117,5
BBB,2014B,4,62,235,9
BBB,2014B,4,75,115,4
BBB,2014B,4,62,120,8
BBB,2014B,4,76,160,5
BBB,2014B,4,64,205,4
BBB,2014B,4,68,221,6
BBB,2014B,4,62,47,3
BBB,2014B,4,74,136,6
BBB,2014B,4,71,27,5
BBB,2014B,4,62,200,3
BBB,2014B,4,64,4,3
BBB,2014B,4,78,78,1
BBB,2014B,4,62,66,3
BBB,2014B,4,77,169,1
BBB,2014B,4,76,206,8
BBB,2014B,4,76,57,1
BBB,2014B,4,68,9,7
BBB,2014B,4,68,50,2
BBB,2014B,4,75,65,4
BBB,2014B,4,63,153,8
BBB,2014B,4,74,100,5
BBB,2014B,4,66,150,6
BBB,2014B,4,72,100,9
BBB,2014B,4,62,56,5
BBB,2014B,4,64,56,9
BBB,2014B,4,79,215,1
BBB,2014B,4,64,150,9
BBB,2014B,4,79,60,6
BBB,2014B,4,73,28,4
BBB,2014B,4,68,180,6
BBB,2014B,4,68,34,2
BBB,2014B,4,80,69,3
BBB,2014B,4,80,82,1
BBB,2014B,4,69,9,6
BBB,2014B,4,66,159,5
BBB,2014B,4,65,181,9
BBB,2014B,4,69,206,7
BBB,2014B,4,65,225,7
BBB,2014B,4,75,133,8
BBB,2014B,4,72,184,9
BBB,2014B,4,76,25,6
BBB,2014B,4,79,205,2
BBB,2014B,4,80,45,5
BBB,2014B,4,65,142,2
BBB,2014B,4,63,204,6
BBB,2014B,4,76,27,7
BBB,2014B,4,68,7,8
BBB,2014B,4,77,3,5
BBB,2014B,4,73,61,7
BBB,2014B,4,69,27,5
BBB,2014B,4,75,131,1
BBB,2014B,4,66,54,5
BBB,2014B,4,73,38,2
BBB,2014B,4,78,206,3
BBB,2014B,4,79,217,9
BBB,2014B,4,74,199,7
BBB,2014B,4,62,68,7
BBB,2014B,4,75,119,6
BBB,2014B,4,65,166,1
BBB,2014B,4,63,216,9
BBB,2014B,4,73,53,4
BBB,2014B,4,63,79,3
BBB,2014B,4,73,137,7
BBB,2014B,4,75,228,5
BBB,2014B,4,69,164,4
BBB,2014B,4,74,12,6
BBB,2014B,4,65,19,3
BBB,2014B,4,66,182,4
BBB,2014B,4,73,158,7
BBB,2014B,4,78,72,4
BBB,2014B,4,65,98,1
BBB,2014B,4,69,93,2
BBB,2014B,4,75,129,4
BBB,2014B,4,67,101,1
BBB,2014B,4,79,90,6
BBB,2014B,4,78,220,2
BBB,2014B,4,77,231,8
BBB,2014B,4,77,188,2
BBB,2014B,4,75,83,1
BBB,2014B,4,78,63,1
BBB,2014B,4,71,215,4
BBB,2014B,4,69,209,3
BBB,2014B,4,62,189,1
BBB,2014B,4,66,155,6
BBB,2014B,4,66,129,7
BBB,2014B,4,69,26,9
BBB,2014B,4,61,178,7
BBB,2014B,4,72,191,8
BBB,2014B,4,75,151,4
BBB,2014B,4,69,194,8
BBB,2014B,4,64,174,4
BBB,2014B,4,75,126,7
BBB,2014B,4,80,237,5
BBB,2014B,4,73,20,7
BBB,2014B,4,69,149,5
BBB,2014B,4,74,48,5
BBB,2014B,4,78,63,2
BBB,2014B,4,80,189,7
BBB,2014B,4,80,171,6
BBB,2014B,4,62,175,5
BBB,2014B,4,75,29,9
BBB,2014B,4,63,150,4
BBB,2014B,4,73,50,5
BBB,2014B,4,73,150,5
BBB,2014B,4,63,180,4
BBB,2014B,4,77,235,6
BBB,2014B,4,78,19,7
BBB,2014B,4,77,184,6
BBB,2014B,4,74,229,9
BBB,2014B,4,74,69,8
BBB,2014B,4,69,215,3
BBB,2014B,4,73,12,4
BBB,2014B,4,67,132,8
BBB,2014B,4,64,108,8
BBB,2014B,4,79,131,3
BBB,2014B,4,62,36,2
BBB,2014B,4,79,65,4
BBB,2014B,4,62,113,9
BBB,2014B,4,73,99,3
BBB,2014B,4,74,22,8
BBB,2014B,4,74,148,3
BBB,2014B,4,64,71,2
BBB,2014B,4,76,53,2
BBB,2014B,4,73,213,1
BBB,2014B,4,68,110,4
BBB,2014B,4,63,202,2
BBB,2014B,4,80,231,3
BBB,2014B,4,76,195,6
BBB,2014B,4,63,23,8
BBB,2014B,4,68,229,7
BBB,2014B,4,63,55,9
BBB,2014B,4,74,238,6
BBB,2014B,4,65,2,4
BBB,2014B,4,73,229,6
BBB,2014B,4,66,99,8
BBB,2014B,4,73,153,5
AAA,2014B,4,23,181,1
AAA,2014B,4,40,117,3
AAA,2014B,4,21,132,8
AAA,2014B,4,40,91,6
AAA,2014B,4,37,184,5
AAA,2014B,4,32,80,4
AAA,2014B,4,22,206,5
AAA,2014B,4,22,24,3
AAA,2014B,4,32,45,1
AAA,2014B,4,40,202,1
AAA,2014B,4,36,170,8
AAA,2014B,4,29,158,1
AAA,2014B,4,33,134,6
AAA,2014B,4,28,142,4
AAA,2014B,4,32,200,6
AAA,2014B,4,38,209,1
AAA,2014B,4,21,230,8
AAA,2014B,4,28,11,6
AAA,2014B,4,27,2,3
AAA,2014B,4,22,160,7
AAA,2014B,4,37,46,1
AAA,2014B,4,24,158,4
AAA,2014B,4,39,179,6
AAA,2014B,4,33,45,2
AAA,2014B,4,31,82,2
AAA,2014B,4,38,187,5
AAA,2014B,4,23,171,1
AAA,2014B,4,32,180,1
AAA,2014B,4,21,228,7
AAA,2014B,4,24,93,5
AAA,2014B,4,29,188,4
AAA,2014B,4,40,65,2
AAA,2014B,4,26,219,2
AAA,2014B,4,23,14,8
AAA,2014B,4,33,98,1
AAA,2014B,4,36,101,4
AAA,2014B,4,38,104,6
AAA,2014B,4,29,64,7
AAA,2014B,4,35,158,2
AAA,2014B,4,23,129,3
AAA,2014B,4,24,155,6
AAA,2014B,4,23,71,7
AAA,2014B,4,23,168,1
AAA,2014B,4,31,23,9
AAA,2014B,4,40,139,4
AAA,2014B,4,33,112,7
AAA,2014B,4,33,82,2
AAA,2014B,4,28,193,8
AAA,2014B,4,25,172,3
AAA,2014B,4,38,235,2
AAA,2014B,4,31,155,9
AAA,2014B,4,23,3,3
AAA,2014B,4,21,64,2
AAA,2014B,4,24,58,9
AAA,2014B,4,38,164,6
AAA,2014B,4,39,218,7
AAA,2014B,4,32,47,1
AAA,2014B,4,27,155,2
AAA,2014B,4,24,85,9
AAA,2014B,4,31,166,6
AAA,2014B,4,40,233,8
AAA,2014B,4,39,29,7
AAA,2014B,4,29,194,8
AAA,2014B,4,38,66,1
AAA,2014B,4,38,102,4
AAA,2014B,4,26,162,5
AAA,2014B,4,39,180,8
AAA,2014B,4,27,170,6
AAA,2014B,4,36,206,9
AAA,2014B,4,33,61,7
AAA,2014B,4,28,2,4
AAA,2014B,4,21,83,2
AAA,2014B,4,22,52,4
AAA,2014B,4,36,110,1
AAA,2014B,4,38,16,7
AAA,2014B,4,25,116,6
AAA,2014B,4,40,230,8
AAA,2014B,4,36,68,6
AAA,2014B,4,25,187,3
AAA,2014B,4,24,154,9
AAA,2014B,4,31,150,7
AAA,2014B,4,39,20,7
AAA,2014B,4,29,73,1
AAA,2014B,4,29,20,4
AAA,2014B,4,26,146,6
AAA,2014B,4,36,113,1
AAA,2014B,4,37,10,6
AAA,2014B,4,34,2,4
AAA,2014B,4,25,67,4
AAA,2014B,4,23,222,5
AAA,2014B,4,26,189,1
AAA,2014B,4,28,80,2
AAA,2014B,4,35,44,4
AAA,2014B,4,32,146,3
AAA,2014B,4,37,62,7
AAA,2014B,4,26,179,6
AAA,2014B,4,22,228,4
AAA,2014B,4,21,157,4
AAA,2014B,4,32,75,1
AAA,2014B,4,27,176,6
AAA,2014B,4,36,72,8
AAA,2014B,4,33,164,5
AAA,2014B,4,32,112,4
AAA,2014B,4,29,42,9
AAA,2014B,4,36,193,1
AAA,2014B,4,39,237,6
AAA,2014B,4,26,132,4
DDD,2014B,5,155,46,7
DDD,2014B,5,159,122,1
DDD,2014B,5,151,148,7
DDD,2014B,5,141,125,2
DDD,2014B,5,149,30,8
AAA,2014B,5,21,22,9
AAA,2014B,5,27,5,9
AAA,2014B,5,21,62,3
AAA,2014B,5,22,89,4
AAA,2014B,5,25,237,4
AAA,2014B,5,31,103,1
AAA,2014B,5,33,108,2
AAA,2014B,5,39,188,3
AAA,2014B,5,39,201,9
AAA,2014B,5,28,205,2
AAA,2014B,5,37,40,7
AAA,2014B,5,32,85,5
AAA,2014B,5,38,128,9
AAA,2014B,5,32,81,2
AAA,2014B,5,22,6,1
AAA,2014B,5,33,77,4
AAA,2014B,5,38,32,7
AAA,2014B,5,36,169,6
AAA,2014B,5,36,202,9
AAA,2014B,5,38,216,8
AAA,2014B,5,26,71,9
AAA,2014B,5,24,175,9
AAA,2014B,5,35,134,9
AAA,2014B,5,25,228,6
AAA,2014B,5,24,82,2
AAA,2014B,5,35,175,3
AAA,2014B,5,37,29,5
AAA,2014B,5,21,91,7
AAA,2014B,5,37,99,1
AAA,2014B,5,34,184,3
AAA,2014B,5,37,11,1
AAA,2014B,5,40,74,1
AAA,2014B,5,38,155,4
AAA,2014B,5,27,73,3
AAA,2014B,5,40,198,4
AAA,2014B,5,28,70,8
AAA,2014B,5,37,24,2
AAA,2014B,5,28,88,8
AAA,2014B,5,30,142,4
AAA,2014B,5,21,1,6
AAA,2014B,5,31,210,8
AAA,2014B,5,40,140,6
AAA,2014B,5,37,113,8
AAA,2014B,5,27,201,9
AAA,2014B,5,28,13,2
AAA,2014B,5,39,66,6
AAA,2014B,5,28,169,1
AAA,2014B,5,32,97,3
AAA,2014B,5,30,155,2
AAA,2014B,5,27,115,8
AAA,2014B,5,38,153,9
AAA,2014B,5,33,36,4
AAA,2014B,5,23,106,5
AAA,2014B,5,22,55,2
AAA,2014B,5,35,23,8
AAA,2014B,5,30,154,3
AAA,2014B,5,27,171,7
AAA,2014B,5,29,99,7
AAA,2014B,5,29,103,1
AAA,2014B,5,33,98,4
AAA,2014B,5,21,239,6
AAA,2014B,5,30,192,7
AAA,2014B,5,38,77,7
AAA,2014B,5,22,51,1
AAA,2014B,5,32,87,2
AAA,2014B,5,22,39,2
AAA,2014B,5,34,75,7
AAA,2014B,5,28,96,1
AAA,2014B,5,28,177,2
AAA,2014B,5,24,186,5
AAA,2014B,5,25,5,7
AAA,2014B,5,29,167,2
AAA,2014B,5,27,164,1
AAA,2014B,5,27,51,7
AAA,2014B,5,30,75,9
AAA,2014B,5,25,185,5
AAA,2014B,5,31,124,7
AAA,2014B,5,28,122,6
AAA,2014B,5,29,51,8
AAA,2014B,5,24,102,4
AAA,2014B,5,29,207,8
AAA,2014B,5,31,139,3
AAA,2014B,5,36,223,5
AAA,2014B,5,32,193,2
AAA,2014B,5,29,212,3
AAA,2014B,5,28,38,4
AAA,2014B,5,37,193,6
AAA,2014B,5,38,191,3
AAA,2014B,5,23,177,6
AAA,2014B,5,21,214,7
AAA,2014B,5,30,215,5
AAA,2014B,5,30,231,9
AAA,2014B,5,29,147,3
AAA,2014B,5,22,234,5
AAA,2014B,5,28,239,9
AAA,2014B,5,39,118,5
AAA,2014B,5,22,201,1
AAA,2014B,5,28,7,9
AAA,2014B,5,32,82,9
AAA,2014B,5,39,196,3
AAA,2014B,5,27,30,6
AAA,2014B,5,38,14,9
AAA,2014B,5,23,53,2
AAA,2014B,5,36,85,3
AAA,2014B,5,35,143,8
AAA,2014B,5,22,89,3
AAA,2014B,5,24,52,2
AAA,2014B,5,23,23,8
AAA,2014B,5,40,164,2
AAA,2014B,5,22,116,4
AAA,2014B,5,38,78,1
AAA,2014B,5,32,56,4
EEE,2014B,6,193,113,8
EEE,2014B,6,196,205,6
EEE,2014B,6,199,114,8
EEE,2014B,6,193,8,4
EEE,2014B,6,183,166,9
EEE,2014B,6,194,140,7
EEE,2014B,6,184,198,9
EEE,2014B,6,199,56,9
EEE,2014B,6,190,198,1
EEE,2014B,6,192,170,8
EEE,2014B,6,195,45,4
EEE,2014B,6,190,18,4
EEE,2014B,6,197,146,5
EEE,2014B,6,182,197,7
EEE,2014B,6,184,99,5
EEE,2014B,6,188,8,5
EEE,2014B,6,184,21,8
EEE,2014B,6,190,227,6
EEE,2014B,6,185,6,7
EEE,2014B,6,182,87,2
EEE,2014B,6,191,89,6
EEE,2014B,6,186,24,8
EEE,2014B,6,191,66,8
EEE,2014B,6,195,58,2
EEE,2014B,6,187,199,9
EEE,2014B,6,188,165,4
EEE,2014B,6,191,213,6
EEE,2014B,6,189,67,7
EEE,2014B,6,199,200,4
EEE,2014B,6,191,118,2
EEE,2014B,6,192,30,9
EEE,2014B,6,184,172,3
EEE,2014B,6,200,206,2
EEE,2014B,6,185,210,7
EEE,2014B,6,194,208,8
EEE,2014B,6,185,126,5
EEE,2014B,6,193,146,7
EEE,2014B,6,183,137,4
EEE,2014B,6,186,171,3
BBB,2013J,7,42,237,4
BBB,2013J,7,60,96,4
BBB,2013J,7,52,12,1
BBB,2013J,7,57,158,9
BBB,2013J,7,58,204,4
BBB,2013J,7,49,231,8
BBB,2013J,7,51,35,9
BBB,2013J,7,44,202,4
BBB,2013J,7,51,110,9
BBB,2013J,7,51,54,1
BBB,2013J,7,51,34,4
BBB,2013J,7,59,159,8
BBB,2013J,7,49,58,2
BBB,2013J,7,49,136,9
BBB,2013J,7,45,162,7
BBB,2013J,7,53,133,7
BBB,2013J,7,55,38,4
BBB,2013J,7,52,17,5
BBB,2013J,7,49,220,8
BBB,2013J,7,54,84,4
BBB,2013J,7,53,171,4
BBB,2013J,7,50,222,3
BBB,2013J,7,42,123,7
BBB,2013J,7,48,154,1
BBB,2013J,7,51,146,2
BBB,2013J,7,57,198,2
BBB,2013J,7,47,215,4
BBB,2013J,7,48,214,9
BBB,2013J,7,46,235,4
BBB,2013J,7,53,193,7
BBB,2013J,7,57,123,4
BBB,2013J,7,58,209,3
BBB,2013J,7,43,205,2
BBB,2013J,7,53,127,2
BBB,2013J,7,56,9,4
BBB,2013J,7,51,29,6
BBB,2013J,7,44,39,7
BBB,2013J,7,59,107,6
BBB,2013J,7,46,183,2
BBB,2013J,7,59,134,8
BBB,2013J,7,45,191,7
BBB,2013J,7,43,124,5
BBB,2013J,7,60,177,4
BBB,2013J,7,43,16,4
BBB,2013J,7,58,239,2
BBB,2013J,7,55,56,3
BBB,2013J,7,44,126,2
BBB,2013J,7,60,133,8
BBB,2013J,7,59,40,4
BBB,2013J,7,43,185,9
BBB,2013J,7,57,184,4
BBB,2013J,7,42,38,3
BBB,2013J,7,53,60,2
BBB,2013J,7,51,88,5
BBB,2013J,7,42,236,7
BBB,2013J,7,45,129,9
BBB,2013J,7,52,222,9
BBB,2013J,7,54,7,1
BBB,2013J,7,50,191,8
BBB,2013J,7,48,4,9
BBB,2013J,7,49,133,4
BBB,2013J,7,55,118,3
BBB,2013J,7,47,30,4
BBB,2014B,8,76,21,7
BBB,2014B,8,67,228,1
BBB,2014B,8,66,109,5
BBB,2014B,8,77,177,3
BBB,2014B,8,77,68,2
BBB,2014B,8,80,135,5
BBB,2014B,8,70,147,5
BBB,2014B,8,63,219,4
BBB,2014B,8,61,1,5
BBB,2014B,8,73,93,9
BBB,2014B,8,68,113,4
BBB,2014B,8,70,36,2
BBB,2014B,8,64,230,5
BBB,2014B,8,61,55,4
BBB,2014B,8,76,216,5
BBB,2014B,8,80,144,6
BBB,2014B,8,63,231,4
BBB,2014B,8,69,92,7
BBB,2014B,8,72,147,1
BBB,2014B,8,79,36,9
BBB,2014B,8,75,212,3
BBB,2014B,8,74,57,4
BBB,2014B,8,72,176,3
BBB,2014B,8,61,63,5
BBB,2014B,8,61,201,3
BBB,2014B,8,61,87,3
BBB,2014B,8,66,41,6
BBB,2014B,8,76,201,3
BBB,2014B,8,75,10,4
BBB,2014B,8,61,239,2
BBB,2014B,8,61,136,7
BBB,2014B,8,64,147,7
BBB,2014B,8,68,154,4
BBB,2014B,8,75,239,6
BBB,2014B,8,79,136,4
BBB,2014B,8,72,211,1
BBB,2014B,8,76,179,7
BBB,2014B,8,65,81,7
BBB,2014B,8,73,173,4
BBB,2014B,8,68,100,9
BBB,2014B,8,64,115,6
BBB,2014B,8,66,55,9
BBB,2014B,8,78,83,9
BBB,2014B,8,71,206,7
BBB,2014B,8,71,130,5
BBB,2014B,8,65,143,3
BBB,2014B,8,71,207,6
BBB,2014B,8,80,145,8
BBB,2014B,8,69,87,2
BBB,2014B,8,80,202,1
BBB,2014B,8,77,102,2
BBB,2014B,8,71,80,3
BBB,2014B,8,72,44,3
BBB,2014B,8,61,14,4
BBB,2014B,8,78,131,2
BBB,2014B,8,64,205,4
BBB,2014B,8,79,138,6
BBB,2014B,8,68,150,6
BBB,2014B,8,79,125,1
BBB,2014B,8,69,183,6
BBB,2014B,8,79,51,5
BBB,2014B,8,69,149,4
BBB,2014B,8,75,198,5
BBB,2014B,8,74,16,7
BBB,2014B,8,65,205,1
BBB,2014B,8,72,26,1
BBB,2014B,8,76,229,2
BBB,2014B,8,77,183,4
BBB,2014B,8,77,77,2
BBB,2014B,8,78,164,9
BBB,2014B,8,67,86,1
BBB,2014B,8,75,193,3
BBB,2014B,8,66,25,2
BBB,2014B,8,74,71,9
BBB,2014B,8,75,111,7
BBB,2014B,8,63,174,7
BBB,2014B,8,71,54,9
BBB,2014B,8,69,168,1
BBB,2014B,8,69,166,9
BBB,2014B,8,74,222,2
BBB,2014B,8,72,16,6
BBB,2014B,8,78,73,6
EEE,2013J,8,166,12,4
EEE,2013J,8,164,169,9
EEE,2013J,8,166,102,7
EEE,2013J,8,164,88,3
EEE,2013J,8,161,210,1
EEE,2013J,8,163,77,1
EEE,2013J,8,175,8,2
EEE,2013J,8,177,63,3
EEE,2013J,8,170,203,8
EEE,2013J,8,167,86,8
AAA,2013J,9,15,172,2
AAA,2013J,9,8,39,7
AAA,2013J,9,10,217,8
AAA,2013J,9,10,208,7
AAA,2013J,9,8,239,7
AAA,2013J,9,6,125,8
AAA,2013J,9,18,118,5
AAA,2013J,9,14,171,9
AAA,2013J,9,15,111,9
AAA,2013J,9,14,180,1
AAA,2013J,9,11,6,2
AAA,2013J,9,15,106,2
AAA,2013J,9,9,138,7
AAA,2013J,9,15,65,4
AAA,2013J,9,10,115,9
AAA,2013J,9,15,131,9
AAA,2013J,9,5,207,2
AAA,2013J,9,8,109,9
AAA,2013J,9,20,238,9
AAA,2013J,9,7,26,5
AAA,2013J,9,1,238,6
AAA,2013J,9,19,39,7
AAA,2013J,9,14,36,8
AAA,2013J,9,13,32,6
CCC,2013J,9,87,11,3
CCC,2013J,9,85,236,5
CCC,2013J,9,94,220,2
CCC,2013J,9,85,38,7
CCC,2013J,9,83,41,1
CCC,2013J,9,89,37,5
CCC,2013J,9,95,70,5
CCC,2013J,9,85,19,2
CCC,2013J,9,98,215,7
CCC,2013J,9,87,71,5
CCC,2013J,9,88,171,5
CCC,2013J,9,94,212,8
CCC,2013J,9,87,206,7
CCC,2013J,9,93,71,3
CCC,2013J,9,98,92,4
CCC,2013J,9,91,212,6
CCC,2013J,9,98,223,9
CCC,2013J,9,91,197,1
CCC,2013J,9,96,141,3
CCC,2013J,9,82,224,6
CCC,2013J,9,86,212,4
CCC,2013J,9,92,176,9
CCC,2013J,9,81,167,2
CCC,2013J,9,89,88,9
CCC,2013J,9,82,22,3
CCC,2013J,9,82,174,4
CCC,2013J,9,82,100,2
CCC,2013J,9,81,28,7
CCC,2013J,9,86,34,4
CCC,2013J,9,83,158,9
CCC,2013J,9,89,29,4
CCC,2013J,9,84,213,3
CCC,2013J,9,89,27,2
CCC,2013J,9,88,93,1
CCC,2013J,9,84,150,3
CCC,2013J,9,99,176,6
CCC,2013J,9,90,92,6
CCC,2013J,9,83,74,9
CCC,2013J,9,81,226,8
CCC,2013J,9,95,148,7
CCC,2013J,9,99,3,6
CCC,2013J,9,84,136,3
CCC,2013J,9,90,19,7
CCC,2013J,9,91,21,1
CCC,2013J,9,88,33,9
CCC,2013J,9,97,9,8
CCC,2013J,9,98,14,6
CCC,2013J,9,99,110,1
CCC,2013J,9,82,147,2
CCC,2013J,9,84,205,5
CCC,2013J,9,93,234,5
CCC,2013J,9,94,214,5
CCC,2013J,9,87,107,3
CCC,2013J,9,89,148,8
CCC,2013J,9,99,2,9
CCC,2013J,9,96,110,4
CCC,2013J,9,97,19,9
CCC,2013J,9,88,63,3
CCC,2013J,9,94,95,5
CCC,2013J,9,83,227,5
CCC,2013J,9,90,75,4
CCC,2013J,9,92,74,5
CCC,2013J,9,92,223,5
CCC,2013J,9,94,85,6
BBB,2014B,10,80,10,6
BBB,2014B,10,77,85,9
BBB,2014B,10,67,194,6
BBB,2014B,10,71,177,3
BBB,2014B,10,61,92,1
BBB,2014B,10,66,27,8
BBB,2014B,10,61,204,4
BBB,2014B,10,70,30,9
BBB,2014B,10,76,124,6
BBB,2014B,10,79,4,8
BBB,2014B,10,61,35,2
BBB,2014B,10,80,75,4
BBB,2014B,10,76,30,5
BBB,2014B,10,73,105,4
BBB,2014B,10,67,85,7
BBB,2014B,10,78,134,2
BBB,2014B,10,66,118,2
BBB,2014B,10,74,131,7
BBB,2014B,10,75,78,5
BBB,2014B,10,76,212,1
BBB,2014B,10,79,156,2
BBB,2014B,10,73,164,7
BBB,2014B,10,70,152,3
BBB,2014B,10,74,234,8
BBB,2014B,10,69,27,8
BBB,2014B,10,77,141,2
BBB,2014B,10,71,222,8
BBB,2014B,10,64,170,6
BBB,2014B,10,71,60,6
BBB,2014B,10,71,161,5
BBB,2014B,10,73,7,7
BBB,2014B,10,75,139,8
BBB,2014B,10,76,186,1
BBB,2014B,10,71,215,5
BBB,2014B,10,69,200,5
BBB,2014B,10,67,180,6
BBB,2014B,10,79,123,1
BBB,2014B,10,69,178,3
BBB,2014B,10,61,155,8
BBB,2014B,10,64,190,5
BBB,2014B,10,63,5,5
BBB,2014B,10,69,131,5
