code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
BBB,2014B,80,M,West Midlands Region,No Formal quals,80-90%,0-35,1,150,Y,Withdrawn
BBB,2013J,81,M,Scotland,Post Graduate Qualification,90-100%,0-35,2,30,N,Distinction
AAA,2013J,82,M,South East Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Withdrawn
EEE,2014B,82,M,North Western Region,A Level or Equivalent,20-30%,35-55,2,150,N,Withdrawn
BBB,2014B,83,M,London Region,No Formal quals,80-90%,0-35,1,120,N,Fail
DDD,2013J,84,M,South West Region,A Level or Equivalent,90-100%,55<=,0,60,N,Fail
AAA,2013J,85,F,London Region,HE Qualification,80-90%,0-35,2,60,N,Pass
AAA,2013J,86,F,Scotland,Post Graduate Qualification,40-50%,0-35,1,120,N,Fail
EEE,2014B,87,M,South East Region,HE Qualification,50-60%,35-55,2,60,N,Withdrawn
BBB,2013J,87,F,South Region,Lower Than A Level,20-30%,0-35,2,150,Y,Pass
DDD,2014B,88,F,Scotland,No Formal quals,30-40%,0-35,2,150,N,Pass
DDD,2014B,89,F,North Region,Lower Than A Level,20-30%,0-35,1,120,Y,Fail
DDD,2013J,90,M,North Western Region,Lower Than A Level,0-10%,35-55,1,60,N,Distinction
AAA,2014B,91,M,West Midlands Region,Post Graduate Qualification,80-90%,0-35,0,150,N,Pass
BBB,2014B,92,F,Wales,Post Graduate Qualification,90-100%,55<=,1,30,Y,Pass
AAA,2014B,92,F,South Region,Post Graduate Qualification,80-90%,35-55,0,120,Y,Pass
AAA,2013J,93,M,West Midlands Region,No Formal quals,10-20%,35-55,1,90,N,Withdrawn
EEE,2013J,94,F,East Midlands Region,HE Qualification,80-90%,35-55,2,120,N,Pass
BBB,2014B,94,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,150,Y,Fail
AAA,2014B,95,F,Scotland,A Level or Equivalent,90-100%,55<=,0,90,N,Withdrawn
DDD,2013J,95,F,East Midlands Region,HE Qualification,10-20%,35-55,1,120,N,Fail
AAA,2014B,96,F,North Western Region,HE Qualification,90-100%,35-55,2,60,Y,Pass
DDD,2013J,97,M,South Region,No Formal quals,70-80%,0-35,2,150,N,Pass
DDD,2014B,98,F,East Midlands Region,Lower Than A Level,20-30%,35-55,2,90,N,Pass
AAA,2013J,98,M,South West Region,Post Graduate Qualification,0-10%,35-55,0,60,N,Pass
AAA,2014B,99,F,Scotland,HE Qualification,20-30%,0-35,1,150,N,Fail
CCC,2013J,99,F,South Region,A Level or Equivalent,20-30%,55<=,1,150,N,Fail
BBB,2014B,100,F,South Region,A Level or Equivalent,10-20%,55<=,0,150,Y,Pass
DDD,2014B,100,F,West Midlands Region,HE Qualification,30-40%,35-55,2,30,N,Withdrawn
BBB,2013J,101,F,West Midlands Region,Post Graduate Qualification,60-70%,55<=,2,90,N,Pass
EEE,2014B,101,F,South East Region,Post Graduate Qualification,80-90%,0-35,0,120,N,Withdrawn
BBB,2013J,102,M,Wales,Post Graduate Qualification,40-50%,0-35,0,120,N,Withdrawn
EEE,2014B,103,F,Scotland,HE Qualification,40-50%,35-55,0,30,N,Pass
BBB,2013J,103,M,Wales,HE Qualification,0-10%,55<=,1,120,N,Withdrawn
AAA,2013J,104,F,East Midlands Region,Lower Than A Level,10-20%,55<=,1,120,N,Distinction
DDD,2014B,104,F,Scotland,A Level or Equivalent,60-70%,35-55,0,30,N,Pass
DDD,2014B,105,M,South West Region,A Level or Equivalent,90-100%,35-55,1,60,N,Withdrawn
AAA,2014B,105,M,London Region,HE Qualification,30-40%,0-35,0,90,N,Fail
DDD,2014B,106,F,Scotland,HE Qualification,0-10%,0-35,0,150,N,Pass
CCC,2013J,106,M,South Region,A Level or Equivalent,50-60%,35-55,1,90,N,Fail
BBB,2014B,107,F,North Region,HE Qualification,40-50%,55<=,0,120,N,Pass
BBB,2013J,108,F,East Anglian Region,Lower Than A Level,50-60%,35-55,2,90,N,Fail
DDD,2014B,109,F,Scotland,Post Graduate Qualification,40-50%,0-35,1,30,N,Pass
BBB,2013J,109,M,South Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass
BBB,2014B,110,M,East Midlands Region,Post Graduate Qualification,20-30%,55<=,0,150,N,Distinction
CCC,2014B,111,M,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,N,Pass
AAA,2014B,112,M,South West Region,HE Qualification,90-100%,0-35,1,120,N,Distinction
CCC,2013J,113,M,South West Region,No Formal quals,50-60%,0-35,1,30,N,Pass
BBB,2013J,113,M,South East Region,HE Qualification,90-100%,55<=,0,120,N,Fail
CCC,2014B,114,F,East Anglian Region,A Level or Equivalent,40-50%,55<=,0,90,N,Pass
DDD,2013J,114,M,North Region,No Formal quals,20-30%,55<=,2,60,N,Fail
DDD,2013J,115,F,North Western Region,A Level or Equivalent,50-60%,0-35,2,30,N,Withdrawn
AAA,2014B,116,F,South West Region,No Formal quals,30-40%,0-35,0,120,N,Pass
EEE,2013J,116,F,East Midlands Region,Post Graduate Qualification,0-10%,35-55,0,120,N,Pass
AAA,2013J,117,F,North Western Region,A Level or Equivalent,60-70%,35-55,1,30,N,Pass
DDD,2014B,117,F,North Region,Post Graduate Qualification,90-100%,0-35,0,150,N,Pass
CCC,2013J,118,F,East Anglian Region,Post Graduate Qualification,70-80%,55<=,1,150,N,Withdrawn
AAA,2014B,118,M,South Region,Post Graduate Qualification,0-10%,0-35,1,150,Y,Pass
DDD,2014B,119,M,South Region,HE Qualification,60-70%,35-55,0,60,N,Pass
CCC,2013J,119,M,East Anglian Region,Lower Than A Level,20-30%,35-55,2,60,N,Pass
AAA,2013J,120,F,South East Region,Post Graduate Qualification,0-10%,35-55,1,60,N,Fail
AAA,2014B,121,M,Wales,Lower Than A Level,10-20%,55<=,1,90,N,Withdrawn
BBB,2014B,121,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,1,30,N,Pass
BBB,2013J,122,F,East Midlands Region,No Formal quals,40-50%,35-55,0,60,N,Pass
AAA,2013J,122,F,South Region,A Level or Equivalent,50-60%,0-35,2,60,N,Pass
AAA,2013J,123,F,London Region,A Level or Equivalent,70-80%,55<=,0,90,N,Distinction
DDD,2014B,124,M,West Midlands Region,HE Qualification,40-50%,55<=,0,120,N,Fail
BBB,2014B,124,M,Wales,Post Graduate Qualification,20-30%,55<=,2,120,N,Pass
AAA,2014B,125,M,Wales,No Formal quals,90-100%,55<=,1,150,N,Distinction
CCC,2013J,126,M,South Region,HE Qualification,20-30%,0-35,2,150,N,Distinction
BBB,2014B,126,F,South Region,A Level or Equivalent,30-40%,35-55,2,30,N,Withdrawn
DDD,2013J,127,F,East Anglian Region,HE Qualification,80-90%,0-35,1,120,Y,Pass
CCC,2014B,127,F,West Midlands Region,No Formal quals,60-70%,35-55,2,30,N,Distinction
DDD,2014B,128,M,South West Region,No Formal quals,70-80%,0-35,0,90,N,Fail
BBB,2013J,128,F,East Anglian Region,No Formal quals,30-40%,0-35,1,120,N,Fail
BBB,2014B,129,M,Wales,A Level or Equivalent,50-60%,55<=,0,30,N,Fail
EEE,2014B,130,M,East Midlands Region,HE Qualification,90-100%,55<=,1,60,N,Distinction
DDD,2014B,131,M,Scotland,Lower Than A Level,90-100%,55<=,0,60,N,Pass
CCC,2014B,132,F,South Region,No Formal quals,20-30%,35-55,0,150,N,Fail
BBB,2014B,133,M,Wales,Post Graduate Qualification,50-60%,35-55,2,30,N,Distinction
EEE,2014B,134,M,Scotland,Lower Than A Level,60-70%,0-35,1,90,N,Fail
CCC,2013J,134,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,Fail
CCC,2013J,135,M,East Anglian Region,Post Graduate Qualification,70-80%,55<=,1,60,N,Pass
DDD,2014B,136,M,East Midlands Region,Post Graduate Qualification,30-40%,35-55,1,60,N,Fail
AAA,2014B,136,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Pass
DDD,2014B,137,F,South East Region,Lower Than A Level,90-100%,0-35,1,150,Y,Pass
BBB,2014B,138,M,South West Region,Post Graduate Qualification,20-30%,0-35,1,120,N,Fail
CCC,2014B,138,F,Scotland,Lower Than A Level,20-30%,0-35,2,90,Y,Pass
DDD,2014B,139,F,North Western Region,No Formal quals,30-40%,35-55,2,30,N,Distinction
CCC,2014B,139,M,London Region,Post Graduate Qualification,80-90%,35-55,0,30,N,Fail
DDD,2014B,140,F,London Region,HE Qualification,90-100%,0-35,0,120,N,Pass
AAA,2013J,140,M,East Anglian Region,No Formal quals,50-60%,0-35,2,150,N,Distinction
EEE,2014B,141,M,South Region,HE Qualification,40-50%,35-55,0,120,N,Distinction
DDD,2013J,142,F,North Region,HE Qualification,50-60%,35-55,0,120,N,Withdrawn
AAA,2014B,143,M,North Western Region,Post Graduate Qualification,70-80%,35-55,1,60,N,Pass
CCC,2013J,143,M,South Region,Lower Than A Level,30-40%,35-55,1,90,N,Pass
DDD,2013J,144,F,West Midlands Region,Lower Than A Level,30-40%,55<=,2,150,Y,Pass
CCC,2014B,145,M,North Western Region,A Level or Equivalent,40-50%,0-35,2,90,N,Fail
DDD,2013J,145,M,East Midlands Region,HE Qualification,10-20%,0-35,2,60,Y,Fail
BBB,2014B,146,F,South East Region,Lower Than A Level,80-90%,55<=,1,30,N,Distinction
CCC,2013J,147,F,North Region,HE Qualification,10-20%,35-55,1,90,N,Pass
DDD,2014B,147,M,West Midlands Region,Post Graduate Qualification,90-100%,55<=,2,30,N,Pass
AAA,2014B,148,M,West Midlands Region,No Formal quals,50-60%,35-55,2,150,N,Withdrawn
DDD,2014B,148,M,Scotland,HE Qualification,70-80%,35-55,2,120,N,Pass
BBB,2014B,149,M,North Western Region,No Formal quals,20-30%,55<=,1,120,N,Pass
EEE,2013J,149,F,South West Region,HE Qualification,70-80%,35-55,1,120,N,Fail
BBB,2014B,150,M,West Midlands Region,HE Qualification,0-10%,55<=,0,120,N,Pass
EEE,2013J,151,F,South West Region,HE Qualification,60-70%,0-35,0,150,N,Withdrawn
BBB,2014B,151,M,London Region,Lower Than A Level,40-50%,0-35,2,30,Y,Fail
DDD,2013J,152,M,South Region,A Level or Equivalent,50-60%,55<=,0,90,N,Fail
BBB,2013J,152,M,West Midlands Region,A Level or Equivalent,50-60%,55<=,1,60,N,Distinction
DDD,2014B,153,M,North Western Region,A Level or Equivalent,90-100%,55<=,0,30,N,Pass
BBB,2013J,153,M,North Western Region,HE Qualification,30-40%,0-35,1,60,N,Distinction
CCC,2013J,154,M,North Western Region,Post Graduate Qualification,90-100%,0-35,2,150,Y,Pass
EEE,2013J,155,M,Scotland,Lower Than A Level,0-10%,35-55,2,90,N,Distinction
CCC,2014B,155,F,North Region,Post Graduate Qualification,40-50%,35-55,2,90,N,Distinction
DDD,2014B,156,M,North Region,HE Qualification,20-30%,35-55,2,90,N,Fail
CCC,2014B,156,M,South West Region,HE Qualification,60-70%,0-35,2,120,N,Fail
CCC,2013J,157,F,East Anglian Region,Post Graduate Qualification,80-90%,35-55,2,150,N,Pass
EEE,2014B,158,F,Scotland,HE Qualification,50-60%,0-35,2,150,N,Pass
BBB,2014B,158,M,London Region,A Level or Equivalent,40-50%,55<=,0,150,N,Pass
BBB,2013J,159,M,South Region,Lower Than A Level,0-10%,35-55,0,150,N,Distinction
CCC,2014B,159,F,East Midlands Region,Lower Than A Level,90-100%,0-35,1,150,N,Pass
BBB,2014B,160,F,South Region,Post Graduate Qualification,20-30%,35-55,1,60,N,Withdrawn
DDD,2014B,161,F,South East Region,Lower Than A Level,70-80%,55<=,1,30,N,Pass
CCC,2013J,161,F,North Western Region,No Formal quals,30-40%,0-35,0,150,Y,Distinction
EEE,2013J,162,M,Wales,HE Qualification,90-100%,55<=,1,30,N,Distinction
BBB,2013J,162,M,West Midlands Region,No Formal quals,20-30%,55<=,2,30,Y,Fail
BBB,2014B,163,M,East Anglian Region,Post Graduate Qualification,20-30%,0-35,0,150,N,Pass
DDD,2013J,163,F,South West Region,Post Graduate Qualification,90-100%,0-35,0,90,Y,Fail
EEE,2014B,164,F,East Anglian Region,Post Graduate Qualification,10-20%,0-35,2,120,N,Withdrawn
EEE,2013J,165,F,East Midlands Region,A Level or Equivalent,10-20%,55<=,2,150,Y,Fail
AAA,2014B,165,M,East Midlands Region,Post Graduate Qualification,20-30%,35-55,2,150,N,Distinction
CCC,2014B,166,M,London Region,HE Qualification,60-70%,0-35,2,60,N,Fail
EEE,2013J,166,M,East Midlands Region,HE Qualification,50-60%,0-35,1,90,N,Fail
DDD,2014B,167,F,Scotland,Lower Than A Level,20-30%,55<=,0,90,N,Pass
CCC,2013J,168,F,West Midlands Region,Post Graduate Qualification,40-50%,55<=,0,30,N,Pass
AAA,2013J,169,M,London Region,Lower Than A Level,0-10%,0-35,1,150,N,Fail
EEE,2014B,170,M,Scotland,No Formal quals,70-80%,55<=,2,90,N,Distinction
CCC,2014B,170,F,London Region,Lower Than A Level,90-100%,55<=,1,90,N,Pass
DDD,2014B,171,F,Wales,Lower Than A Level,60-70%,35-55,1,120,N,Distinction
CCC,2013J,171,M,South Region,HE Qualification,50-60%,0-35,0,30,N,Pass
BBB,2013J,172,F,Scotland,No Formal quals,20-30%,35-55,0,150,N,Pass
AAA,2014B,172,M,South West Region,Post Graduate Qualification,20-30%,0-35,2,150,N,Fail
BBB,2013J,173,F,Scotland,HE Qualification,70-80%,35-55,2,150,N,Distinction
CCC,2013J,174,F,London Region,No Formal quals,10-20%,55<=,1,150,N,Distinction
BBB,2014B,175,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,2,90,N,Distinction
DDD,2014B,175,F,North Region,A Level or Equivalent,30-40%,35-55,2,30,N,Pass
BBB,2014B,176,M,North Western Region,No Formal quals,10-20%,55<=,2,120,N,Pass
BBB,2013J,177,M,East Anglian Region,Lower Than A Level,50-60%,55<=,2,150,N,Fail
CCC,2014B,178,M,North Western Region,A Level or Equivalent,90-100%,35-55,0,120,N,Pass
DDD,2013J,179,F,West Midlands Region,A Level or Equivalent,0-10%,55<=,1,90,N,Fail
EEE,2013J,179,M,Wales,No Formal quals,70-80%,0-35,0,30,N,Fail
EEE,2014B,180,F,North Region,Lower Than A Level,20-30%,55<=,1,120,N,Fail
CCC,2013J,180,M,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail
CCC,2014B,181,M,Scotland,Lower Than A Level,70-80%,55<=,1,90,Y,Pass
AAA,2013J,181,M,East Anglian Region,HE Qualification,40-50%,0-35,0,90,N,Fail
EEE,2014B,182,F,South East Region,Post Graduate Qualification,70-80%,35-55,1,60,N,Fail
BBB,2014B,182,M,North Region,Post Graduate Qualification,60-70%,35-55,2,60,N,Fail
BBB,2013J,183,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,1,30,Y,Fail
CCC,2013J,184,F,London Region,HE Qualification,0-10%,55<=,2,30,N,Pass
EEE,2013J,185,M,North Region,Post Graduate Qualification,20-30%,0-35,0,60,Y,Pass
AAA,2014B,185,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,90,N,Withdrawn
BBB,2014B,186,M,Wales,Post Graduate Qualification,20-30%,55<=,0,60,N,Pass
DDD,2013J,186,F,East Midlands Region,Lower Than A Level,10-20%,35-55,2,120,Y,Withdrawn
CCC,2013J,187,F,East Midlands Region,HE Qualification,50-60%,55<=,1,30,N,Fail
DDD,2014B,188,M,North Region,Post Graduate Qualification,40-50%,35-55,1,30,N,Pass
CCC,2014B,189,F,Wales,Post Graduate Qualification,40-50%,35-55,1,150,N,Pass
EEE,2013J,190,M,North Western Region,HE Qualification,50-60%,0-35,2,30,N,Pass
CCC,2014B,190,M,South Region,Post Graduate Qualification,0-10%,35-55,2,150,Y,Pass
CCC,2014B,191,F,Wales,HE Qualification,0-10%,55<=,1,120,N,Pass
BBB,2014B,192,M,North Western Region,HE Qualification,70-80%,0-35,2,30,N,Pass
EEE,2013J,192,F,West Midlands Region,Lower Than A Level,80-90%,0-35,1,60,N,Fail
AAA,2013J,193,M,Wales,Post Graduate Qualification,10-20%,55<=,2,120,N,Pass
EEE,2014B,194,M,South East Region,Lower Than A Level,20-30%,55<=,0,150,N,Withdrawn
AAA,2013J,194,F,London Region,Lower Than A Level,0-10%,0-35,2,120,N,Fail
EEE,2013J,195,F,Wales,Post Graduate Qualification,30-40%,0-35,2,30,N,Pass
CCC,2013J,196,F,North Region,A Level or Equivalent,90-100%,35-55,0,90,N,Pass
BBB,2014B,197,M,Scotland,Lower Than A Level,50-60%,0-35,2,120,N,Fail
DDD,2014B,197,F,East Midlands Region,Post Graduate Qualification,40-50%,0-35,1,90,N,Pass
DDD,2013J,198,M,Scotland,HE Qualification,40-50%,35-55,1,150,N,Fail
AAA,2014B,198,M,East Anglian Region,Lower Than A Level,60-70%,0-35,2,120,N,Fail
CCC,2014B,199,M,South East Region,Lower Than A Level,40-50%,35-55,1,90,N,Pass
BBB,2013J,199,M,South East Region,Post Graduate Qualification,80-90%,35-55,2,90,N,Pass
BBB,2014B,200,F,Wales,Lower Than A Level,20-30%,0-35,2,90,N,Fail
